x,y,th,v,w,dv,dw,t
-0.48685693,1.569433,3.8296875,0.3,0.4,0,0,12.6
-0.5198413,1.5388221,3.8896875,0.3,0.4,0,0,12.75
-0.55093077,1.5062883,3.9496875,0.3,0.4,0,0,12.9
-0.58001344,1.4719489,4.0096875,0.3,0.4,0,0,13.05
-0.60698464,1.4359273,4.0696875,0.3,0.4,0,0,13.2
-0.63174732,1.3983532,4.1296875,0.3,0.4,0,0,13.35
-0.65421234,1.3593619,4.1896875,0.3,0.4,0,0,13.5
-0.67429886,1.3190937,4.2496875,0.3,0.4,0,0,13.65
-0.69193459,1.2776934,4.3096875,0.3,0.4,0,0,13.8
-0.70705607,1.2353101,4.3696875,0.3,0.4,0,0,13.95
-0.71960886,1.1920964,4.4296875,0.3,0.4,0,0,14.1
-0.72954779,1.1482077,4.4896875,0.3,0.4,0,0,14.25
-0.7368371,1.103802,4.5496875,0.3,0.4,0,0,14.4
-0.74145054,1.0590391,4.6096875,0.3,0.4,0,0,14.55
-0.74337153,1.0140801,4.6696875,0.3,0.4,0,0,14.7
-0.74259313,0.96908687,4.7296875,0.3,0.4,0,0,14.85
-0.73911816,0.92422124,4.7896875,0.3,0.4,0,0,15
-0.73295912,0.87964472,4.8496875,0.3,0.4,0,0,15.15
-0.72413818,0.83551773,4.9096875,0.3,0.4,0,0,15.3
-0.71268707,0.79199909,4.9696875,0.3,0.4,0,0,15.45
-0.69864703,0.74924541,5.0296875,0.3,0.4,0,0,15.6
-0.68206856,0.70741056,5.0896875,0.3,0.4,0,0,15.75
-0.66301134,0.66664511,5.1496875,0.3,0.4,0,0,15.9
-0.64154396,0.62709576,5.2096875,0.3,0.4,0,0,16.05
-0.61774366,0.58890484,5.2696875,0.3,0.4,0,0,16.2
-0.59169612,0.55220981,5.3296875,0.3,0.4,0,0,16.35
-0.56349506,0.51714272,5.3896875,0.3,0.4,0,0,16.5
-0.53324199,0.48382979,5.4496875,0.3,0.4,0,0,16.65
-0.50104578,0.4523909,5.5096875,0.3,0.4,0,0,16.8
-0.4670223,0.42293919,5.5696875,0.3,0.4,0,0,16.95
-0.43129401,0.39558066,5.6296875,0.3,0.4,0,0,17.1
-0.39398948,0.37041378,5.6896875,0.3,0.4,0,0,17.25
-0.35524297,0.34752911,5.7496875,0.3,0.4,0,0,17.4
-0.31519392,0.32700902,5.8096875,0.3,0.4,0,0,17.55
-0.27398648,0.30892735,5.8696875,0.3,0.4,0,0,17.7
-0.2339216,0.29401535,5.926875,0.285,0.38125,-0.1,-0.125,17.85
-0.19525371,0.28197193,5.98125,0.27,0.3625,-0.1,-0.125,18
-0.15819634,0.27249491,6.0328125,0.255,0.34375,-0.1,-0.125,18.15
